nom,prenom,age,taille,poids,sexe,nationalité_francaise,revenu_estime_mois,risque_personnel,date_creation_compte,loyer_mensuel,montant_pret,sport_licence_oui,niveau_etude_bac,niveau_etude_bac+2,niveau_etude_doctorat,niveau_etude_master,region_Bretagne,region_Corse,region_Hauts-de-France,region_Normandie,region_Occitanie,region_Provence-Alpes-Côte d’Azur,region_Île-de-France,smoker_oui,situation_familiale_divorcé,situation_familiale_marié,situation_familiale_veuf
Ramirez,Casey,1.573777446266125,-0.8886509566618476,-0.19889225216074632,H,oui,-1.4388226358338507,-1.3404213414057755,2024-09-28,-1.2072667342537864,13157.101646368172,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
Hill,Phillip,-0.14926058756341057,-0.17991691475223578,0.3155419690264663,H,oui,2.3537175793680083,1.003988382587184,2023-06-26,1.5261908046256485,32408.309271881208,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Hernandez,Martin,1.4549472370365018,-0.9685083134967318,-1.6745062024082753,H,oui,1.0978923896031265,-1.271468114229512,2023-06-13,-0.058968107416779394,17975.461375021725,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
Miller,Michael,0.9202112955031976,-0.8087935998269605,1.1819574994470337,F,oui,0.6648790241026408,-0.6164124560550086,2024-01-12,1.5261908046256485,16004.737730594868,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False
Walker,Matthew,-1.6940533075485114,0.7983357064751176,0.498301494974554,F,oui,1.185186501211009,0.5557924059414711,2023-02-16,-0.0032050573957912967,10437.682759868923,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Haney,Jacob,1.0984566093476322,0.9480682505405288,-0.5914867893825658,F,non,0.047770155904343775,0.27997949723641685,2023-04-03,-0.058968107416779394,500.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
Alexander,Christopher,-1.456392889089265,0.07961949496114568,-0.63210001737103,F,oui,-1.5624172691004565,-0.133739865821164,2023-03-01,-1.422341095439703,500.0,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False
Walsh,Nicole,0.4448904585847051,-0.00023786187374136606,-0.6050245320453874,H,oui,0.09271365891038222,-0.9611785919363263,2023-06-14,1.5261908046256485,500.0,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False
Flores,Mark,0.8607961908883861,0.5188349575530159,-0.7945529293248864,H,oui,-0.8208494695008222,1.2108480641159742,2024-11-15,-0.058968107416779394,4494.300952230585,True,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False
Fernandez,Justin,-1.0999022614003957,-0.8387401086400439,0.7419808629053393,F,oui,-1.7473770699329993,0.5557924059414711,2021-12-28,1.5261908046256485,500.0,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False
Liu,Michael,-1.0999022614003957,1.1776581514408269,0.7352119915739279,F,oui,0.2811306522818511,-0.4440293881143499,2020-03-14,-1.4797840840942966,22788.001263240207,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False
Young,Lisa,-1.3375626798596418,-0.09007738831298857,-0.14474128150946106,H,oui,0.7936594461776355,-1.23699150064138,2022-09-17,-0.0032050573957912967,18070.091787237645,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False
Smith,Jose,-0.2680907967930337,0.019726477334978974,-1.1397653672268313,F,oui,1.7167298540708866,-0.5819358424668768,2021-02-14,-1.380559476836089,8464.616164954017,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
Wilson,Dennis,0.3854753539698935,-1.1781338751883095,0.9518158741790701,F,oui,-1.4146222880613686,-0.06478663864490064,2020-11-05,-0.058968107416779394,12373.56023523041,True,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False
Taylor,Jeffery,0.6231357724291398,-1.1082586879577827,-0.8757793853018148,H,oui,0.5118982542551638,0.004166588531362933,2022-05-19,1.5261908046256485,20050.690685912497,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False
Warren,Alexander,-1.456392889089265,-1.4476524545060483,0.999197973498945,H,oui,-0.8822146370667593,-1.3748979549939073,2021-07-08,1.5261908046256485,16303.54507463377,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
Farmer,Angela,-0.089845482948599,1.7965526669111915,1.1751886281156225,F,oui,-0.5892175693927779,0.0731198157076265,2021-03-02,-1.4551760771437499,500.0,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False
Scott,Tara,-0.5651663198670915,-0.5392750205092218,1.6828539779714238,H,non,-0.40771496109916117,0.004166588531362933,2025-01-03,-0.0032050573957912967,500.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Moreno,Dennis,-0.6839965290967147,0.059655155752422494,0.8841271608649632,F,non,1.2007438676361761,0.5902690195296029,2022-02-26,-0.0032050573957912967,500.0,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
Stewart,Emily,-0.7434116337115262,-1.20808038400139,0.24785325571235944,F,oui,1.1229570355103402,-1.5817576365226977,2020-07-30,-1.2821115974447816,500.0,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False
Montes,Joseph,-1.040487156785584,-0.4693998332786949,0.593065693614304,H,oui,-1.7473770699329993,0.004166588531362933,2022-09-08,-1.3505968030806628,17137.888522770147,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
Torres,Victoria,-1.3375626798596418,-0.060130879499905227,-0.8148595433191183,F,non,0.6458644651385476,-0.1682164794092958,2021-12-01,-0.0032050573957912967,500.0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
Ramirez,Peggy,1.6331925508809364,-1.4875811329234918,-0.3275008074575488,H,oui,-1.7473770699329993,-0.9611785919363263,2022-10-02,-0.0032050573957912967,500.0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True
Murphy,Lori,0.3854753539698935,1.167675981836464,-0.9163926132902785,H,oui,0.24223723621893317,-1.685187477287093,2023-07-20,-0.058968107416779394,21691.867312082977,True,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False
Harrington,Tommy,0.6825508770439513,1.167675981836464,-0.760708572667833,F,oui,-1.4604300892021385,0.03864320211949472,2021-09-10,-0.0032050573957912967,23167.904430812967,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False
Becker,Norma,-0.8622418429411494,-0.2897207804002033,0.42384391032903684,H,non,1.8264957171817882,1.0384649961753156,2020-10-05,1.5261908046256485,1986.2237285384024,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False
Brown,Nicholas,0.2666451447402704,-1.707188864219427,0.02448050177580607,F,non,-1.7473770699329993,1.5900908135854235,2022-09-04,1.5261908046256485,500.0,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
Crosby,Nicole,-1.456392889089265,0.02970864693934198,0.9382781315162485,H,oui,-1.4016578160403959,-1.23699150064138,2022-05-02,-0.0032050573957912967,500.0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False
Watts,Michael,0.6825508770439513,0.2692807174439974,0.41707503899762655,F,non,1.1506145758217485,-0.3405995473499545,2024-10-28,1.5261908046256485,500.0,True,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False
Moore,Deborah,0.14781493551064726,0.458941939926852,-0.016132726212657652,H,oui,-0.27547734648524036,1.0384649961753156,2021-11-28,-1.3694918973122083,16750.901381517804,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
Smith,Molly,1.157871713962444,-1.3079020800449974,0.23431551304953788,H,non,-0.7344196560276713,-1.3059447278176437,2024-04-08,-0.0032050573957912967,500.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
Grimes,Joseph,1.4549472370365018,-0.050148709895545054,-0.4358027487601203,H,oui,-0.22016226586242385,-1.3059447278176437,2021-01-05,1.5261908046256485,27822.25265661032,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
Hogan,William,-0.14926058756341057,-0.3795603068394505,-0.9366992272845108,F,oui,-0.14842552067970866,-1.4438511821701707,2020-08-11,1.5261908046256485,12238.402238366429,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
