nom,prenom,age,taille,poids,sexe,sport_licence,niveau_etude,region,smoker,nationalité_francaise,revenu_estime_mois,montant_pret
Fleury,André,58,175.0,67.9,H,oui,bac+2,Corse,oui,oui,3277,42474
Maréchal,Lucy,24,185.2,66.5,H,non,aucun,Île-de-France,oui,oui,2219,41557
Tessier,Luc,50,185.8,81.5,H,oui,doctorat,Normandie,oui,oui,1936,41733
Gros,Marthe,35,175.4,63.0,H,oui,master,Auvergne-Rhône-Alpes,non,oui,1941,41832
Masson,Inès,66,172.4,41.3,F,oui,aucun,Normandie,oui,oui,500,83911
Rodriguez,Richard,40,164.4,54.8,F,oui,master,Provence-Alpes-Côte d’Azur,non,oui,2877,83722
Bonneau,Auguste,36,160.9,48.8,F,oui,aucun,Île-de-France,oui,non,4258,84460
Perez,Inès,23,167.7,71.0,H,oui,master,Bretagne,non,non,790,42289
Guillaume,Adrienne,41,164.6,71.7,H,non,bac+2,Corse,non,non,1118,42218
Maury,Élisabeth,61,173.8,61.0,H,oui,doctorat,Corse,oui,oui,2149,41555
Le Gall,Inès,35,164.0,97.8,H,non,aucun,Corse,oui,non,2483,42053
Mathieu,Pénélope,43,159.4,82.3,F,oui,bac,Auvergne-Rhône-Alpes,oui,non,1034,83553
Devaux,Michelle,43,172.1,40.6,F,oui,bac+2,Hauts-de-France,oui,non,906,84391
Georges,Zacharie,52,172.0,81.1,F,non,doctorat,Normandie,non,oui,2705,83887
Sauvage,Jérôme,26,168.8,65.5,F,oui,aucun,Provence-Alpes-Côte d’Azur,oui,non,725,84326
Guilbert,Claudine,68,162.8,63.1,F,oui,master,Normandie,non,oui,3768,84053
Menard,Suzanne,53,173.4,43.6,H,oui,doctorat,Bretagne,non,oui,2888,41837
Lejeune,Emmanuelle,45,166.1,59.8,H,non,aucun,Bretagne,oui,oui,3234,42422
Rolland,Jacques,24,180.3,84.0,F,oui,bac,Auvergne-Rhône-Alpes,oui,oui,1492,84378
Guillaume,André,67,166.9,75.0,H,non,master,Île-de-France,oui,non,3670,42184
Lemaître,Michelle,74,165.2,67.2,F,oui,aucun,Corse,oui,oui,1172,83807
Étienne,Zacharie,49,158.0,82.2,H,oui,bac,Occitanie,oui,oui,4127,42256
Navarro,Maggie,73,169.3,85.1,F,oui,doctorat,Corse,non,oui,2933,83869
Lacroix,Inès,60,163.5,75.4,F,non,doctorat,Occitanie,oui,oui,4345,83655
Bigot,Alexandria,22,169.6,93.5,F,oui,doctorat,Corse,oui,oui,500,83768
Munoz,Sophie,63,178.2,71.3,H,oui,aucun,Île-de-France,non,oui,2141,41694
Auger,Jacques,33,170.9,40.2,F,non,bac,Hauts-de-France,non,oui,2236,83532
Berger,Zoé,48,173.6,92.2,F,oui,aucun,Provence-Alpes-Côte d’Azur,non,oui,1878,84460
Gay,Camille,44,161.9,62.5,F,oui,aucun,Île-de-France,non,non,3598,83573
Hernandez,Geneviève,69,173.3,62.1,H,oui,bac,Corse,non,oui,3115,42062
Samson,Auguste,29,171.0,84.5,F,non,bac,Provence-Alpes-Côte d’Azur,non,non,1657,84099
Diaz,Victor,72,166.7,64.1,H,oui,doctorat,Île-de-France,oui,non,743,42266
Mendès,Virginie,72,173.0,73.9,H,oui,master,Occitanie,non,oui,2506,42301
Dubois,Thérèse,43,167.7,48.8,H,oui,master,Île-de-France,non,oui,1995,42441
Marques,Robert,68,166.6,58.0,F,non,master,Occitanie,oui,oui,2306,84337
Marchal,Clémence,31,174.0,98.3,H,oui,bac+2,Île-de-France,oui,oui,2709,42473
Godard,Alphonse,50,172.6,68.9,H,oui,doctorat,Provence-Alpes-Côte d’Azur,oui,oui,500,41710
Goncalves,Marguerite,22,169.7,70.9,H,non,aucun,Corse,oui,non,5455,41926
Petit,Alphonse,44,168.1,74.5,F,non,bac,Auvergne-Rhône-Alpes,oui,oui,2458,83896
Normand,Julien,26,158.3,87.1,F,non,bac+2,Provence-Alpes-Côte d’Azur,oui,oui,3402,84352
Boucher,Auguste,54,177.9,56.4,H,oui,doctorat,Corse,non,oui,4183,42358
Noël,Élise,40,156.0,78.8,H,oui,bac+2,Bretagne,oui,oui,5128,41927
Charrier,Augustin,52,160.1,61.5,F,oui,doctorat,Bretagne,oui,non,2619,84153
Fontaine,Philippine,26,165.0,46.7,F,oui,aucun,Hauts-de-France,non,oui,2582,84145
Fleury,Nicole,31,159.4,77.1,F,oui,bac+2,Occitanie,non,non,1396,84260
Turpin,Luce,72,185.5,58.3,H,oui,master,Bretagne,oui,oui,2113,42202
Paris,William,67,178.1,51.5,H,non,bac,Occitanie,non,oui,2772,42001
Laporte,Laurent,25,183.1,45.9,H,oui,doctorat,Île-de-France,non,oui,2721,41625
Hebert,Danielle,27,172.6,81.7,F,oui,aucun,Bretagne,non,non,1015,83671
Leduc,Odette,68,156.8,77.8,H,non,bac,Corse,oui,oui,2856,42500
Lenoir,Madeleine,53,172.5,75.2,F,oui,bac,Hauts-de-France,oui,non,1683,83939
Antoine,Marthe,19,172.3,74.4,H,non,master,Corse,non,oui,1642,42219
Pottier,Lucy,62,188.7,77.1,H,non,aucun,Occitanie,oui,oui,1070,41922
Leroy,Alphonse,47,176.6,55.4,F,non,bac,Corse,oui,non,3444,84107
Munoz,Emmanuel,43,181.6,57.7,F,non,aucun,Bretagne,non,non,3656,83601
Lagarde,Célina,43,174.1,82.3,F,oui,aucun,Bretagne,oui,oui,4776,83713
Delorme,Jérôme,34,167.5,58.7,H,oui,doctorat,Normandie,non,non,1432,41756
Poulain,Joseph,38,161.8,68.8,F,oui,master,Corse,non,oui,2909,83586
Techer,Jérôme,45,172.8,82.4,H,oui,bac+2,Normandie,oui,non,2515,41695
Ribeiro,Claudine,39,184.5,66.0,F,oui,bac+2,Bretagne,non,oui,5764,83645
Duval,Isaac,62,176.3,57.1,F,oui,bac,Normandie,non,non,1214,84494
Gros,Benjamin,75,174.8,66.6,H,non,master,Île-de-France,non,oui,3356,41773
Vaillant,Martin,45,174.7,68.9,F,non,master,Occitanie,oui,oui,1483,83683
Clerc,Frédérique,68,154.9,63.3,H,oui,bac+2,Auvergne-Rhône-Alpes,oui,non,3527,42007
Torres,Renée,66,172.1,51.3,H,non,bac,Corse,oui,oui,2707,41623
Guillot,Diane,33,173.9,56.7,F,oui,master,Normandie,oui,non,2684,83758
Gilles,Paul,42,170.6,52.9,F,non,bac,Hauts-de-France,oui,non,2929,84483
Foucher,Hugues,73,175.6,86.2,H,non,bac,Hauts-de-France,non,oui,3764,42449
Roux,Éric,33,156.2,55.9,H,non,bac,Occitanie,non,non,3118,41854
Thibault,Alexandre,75,175.1,77.7,F,non,doctorat,Occitanie,oui,non,7123,84066
Perrin,Thomas,48,175.7,87.0,F,non,bac,Bretagne,non,non,3644,84360
Benoit,Agathe,35,176.5,65.3,F,oui,bac+2,Corse,non,oui,3410,83593
Moulin,Frédérique,75,162.3,66.4,H,oui,bac,Corse,non,non,1917,42435
Bernard,Nicolas,63,170.8,104.7,H,oui,master,Normandie,non,oui,500,42202
Dupuy,Édith,44,176.9,45.8,H,oui,master,Normandie,oui,non,1933,42382
Pineau,Constance,66,180.9,71.0,F,non,aucun,Auvergne-Rhône-Alpes,non,non,1206,84369
De Sousa,Suzanne,72,162.8,80.2,F,oui,master,Corse,non,oui,1623,84234
Courtois,David,19,172.2,70.7,F,non,master,Hauts-de-France,non,non,1718,84430
Jacquet,Adrien,57,191.4,79.5,H,non,doctorat,Île-de-France,oui,non,500,42079
Seguin,Dominique,26,171.9,60.1,F,oui,aucun,Bretagne,non,oui,3522,84137
Michel,Émilie,47,162.1,68.3,F,non,master,Bretagne,non,oui,3105,84105
Fontaine,François,23,178.7,52.0,F,oui,doctorat,Île-de-France,non,oui,2098,83649
Diaz,Margaud,22,165.3,60.2,H,oui,bac,Corse,oui,non,4618,41771
Leduc,Grégoire,33,174.0,51.1,H,non,aucun,Corse,non,non,3601,41515
Meunier,Céline,67,191.2,85.5,F,oui,doctorat,Provence-Alpes-Côte d’Azur,oui,non,676,84384
Andre,Théodore,24,165.2,89.0,H,non,doctorat,Normandie,non,non,1650,41579
Gilbert,Lucy,30,174.4,81.6,H,oui,aucun,Bretagne,oui,non,1387,42415
Henry,Georges,54,169.4,21.4,H,non,doctorat,Normandie,non,oui,1270,41783
Hamon,Adrien,59,167.5,51.3,F,oui,master,Occitanie,oui,oui,4458,84148
Guillon,Thomas,41,155.7,63.4,F,oui,master,Hauts-de-France,non,non,2656,84181
Petitjean,Théodore,52,184.4,48.5,F,non,master,Bretagne,non,non,3895,83534
Schneider,Guy,71,170.1,55.3,H,non,master,Corse,non,oui,3054,41619
Carre,Alix,60,172.0,61.0,F,non,aucun,Occitanie,non,oui,2583,84286
Garcia,Joséphine,31,166.1,71.7,F,non,bac+2,Bretagne,non,oui,3294,83771
Marin,Diane,51,185.9,51.4,H,oui,bac,Normandie,non,oui,5059,42045
Hardy,Marc,33,150.5,67.7,F,non,master,Île-de-France,oui,oui,3205,83658
Petit,Michel,43,172.8,60.7,H,non,doctorat,Auvergne-Rhône-Alpes,non,oui,2250,42317
Lambert,Maryse,40,165.1,61.2,F,non,bac+2,Occitanie,non,oui,3519,83819
Delorme,Martin,32,173.6,59.6,H,oui,bac+2,Provence-Alpes-Côte d’Azur,oui,oui,3579,41763
Perrier,Amélie,65,173.1,82.2,F,non,doctorat,Bretagne,oui,non,3255,84298
Rémy,Audrey,36,161.7,61.6,H,non,bac,Bretagne,oui,non,3396,42285
Bouchet,Océane,26,176.1,69.7,F,oui,aucun,Bretagne,oui,non,2640,83853
Gérard,Zacharie,66,182.8,61.1,F,oui,aucun,Bretagne,non,oui,3156,83671
Schmitt,Anaïs,39,168.0,66.7,H,oui,bac+2,Occitanie,oui,non,3818,41559
Michaud,Claude,43,178.3,82.2,F,oui,doctorat,Île-de-France,oui,oui,4066,83586
Jacquet,Stéphanie,54,170.2,80.2,F,oui,bac,Provence-Alpes-Côte d’Azur,non,non,2127,83658
Berthelot,Hugues,68,173.2,68.0,H,non,master,Occitanie,non,non,2616,41880
Munoz,Christiane,45,176.0,57.7,F,oui,doctorat,Provence-Alpes-Côte d’Azur,oui,non,5010,83893
Delahaye,Brigitte,34,159.9,51.8,H,oui,bac,Hauts-de-France,oui,oui,3889,42414
Guichard,Geneviève,44,177.9,79.4,F,non,bac+2,Île-de-France,oui,oui,3254,83726
